field_id,year,ndvi_mean,ndvi_std
0,2020,0.28121782954390473,0.2615922711050076
0,2021,0.28121782954390473,0.2615922711050076
0,2022,0.28121782954390473,0.2615922711050076
1,2020,0.28121782954390473,0.2615922711050076
1,2021,0.28121782954390473,0.2615922711050076
1,2022,0.28121782954390473,0.2615922711050076
2,2020,0.28121782954390473,0.2615922711050076
2,2021,0.28121782954390473,0.2615922711050076
2,2022,0.28121782954390473,0.2615922711050076
3,2020,0.28121782954390473,0.2615922711050076
3,2021,0.28121782954390473,0.2615922711050076
3,2022,0.28121782954390473,0.2615922711050076
4,2020,0.28121782954390473,0.2615922711050076
4,2021,0.28121782954390473,0.2615922711050076
4,2022,0.28121782954390473,0.2615922711050076
5,2020,0.28121782954390473,0.2615922711050076
5,2021,0.28121782954390473,0.2615922711050076
5,2022,0.28121782954390473,0.2615922711050076
6,2020,0.28121782954390473,0.2615922711050076
6,2021,0.28121782954390473,0.2615922711050076
6,2022,0.28121782954390473,0.2615922711050076
7,2020,0.28121782954390473,0.2615922711050076
7,2021,0.28121782954390473,0.2615922711050076
7,2022,0.28121782954390473,0.2615922711050076
8,2020,0.28121782954390473,0.2615922711050076
8,2021,0.28121782954390473,0.2615922711050076
8,2022,0.28121782954390473,0.2615922711050076
9,2020,0.28121782954390473,0.2615922711050076
9,2021,0.28121782954390473,0.2615922711050076
9,2022,0.28121782954390473,0.2615922711050076
10,2020,0.28121782954390473,0.2615922711050076
10,2021,0.28121782954390473,0.2615922711050076
10,2022,0.28121782954390473,0.2615922711050076
11,2020,0.28121782954390473,0.2615922711050076
11,2021,0.28121782954390473,0.2615922711050076
11,2022,0.28121782954390473,0.2615922711050076
12,2020,0.28121782954390473,0.2615922711050076
12,2021,0.28121782954390473,0.2615922711050076
12,2022,0.28121782954390473,0.2615922711050076
13,2020,0.28121782954390473,0.2615922711050076
13,2021,0.28121782954390473,0.2615922711050076
13,2022,0.28121782954390473,0.2615922711050076
14,2020,0.28121782954390473,0.2615922711050076
14,2021,0.28121782954390473,0.2615922711050076
14,2022,0.28121782954390473,0.2615922711050076
15,2020,0.28121782954390473,0.2615922711050076
15,2021,0.28121782954390473,0.2615922711050076
15,2022,0.28121782954390473,0.2615922711050076
16,2020,0.28121782954390473,0.2615922711050076
16,2021,0.28121782954390473,0.2615922711050076
16,2022,0.28121782954390473,0.2615922711050076
17,2020,0.28121782954390473,0.2615922711050076
17,2021,0.28121782954390473,0.2615922711050076
17,2022,0.28121782954390473,0.2615922711050076
18,2020,0.28121782954390473,0.2615922711050076
18,2021,0.28121782954390473,0.2615922711050076
18,2022,0.28121782954390473,0.2615922711050076
19,2020,0.28121782954390473,0.2615922711050076
19,2021,0.28121782954390473,0.2615922711050076
